Url,Partner,,Type,Rating,Rating, reviews,Enroll,Level
/specializations/anatomy,University of Michigan,Anatomy,SPECIALIZATION,Rated 4.8 out of five stars. 2650 reviews,4.8,"2,650",91K students,Beginner
/specializations/business-statistics-analysis,Rice University,Business Statistics and Analysis,SPECIALIZATION,Rated 4.7 out of five stars. 10300 reviews,4.7,"10,300",230K students,Beginner
/learn/nlp-sequence-models,DeepLearning.AI,Sequence Models,COURSE,Rated 4.8 out of five stars. 27017 reviews,4.8,"27,017",300K students,Intermediate
/learn/excel-essentials,Macquarie University,Excel Skills for Business: Essentials,COURSE,Rated 4.9 out of five stars. 38451 reviews,4.9,"38,451",610K students,Beginner
/specializations/effective-business-communication,University of Colorado Boulder,"Effective Communication: Writing, Design, and Presentation",SPECIALIZATION,Rated 4.8 out of five stars. 7981 reviews,4.8,"7,981",240K students,Beginner
/specializations/web-applications,University of Michigan,Web Applications for Everybody,SPECIALIZATION,Rated 4.7 out of five stars. 7143 reviews,4.7,"7,143",260K students,Intermediate
/specializations/full-stack-mobile-app-development,The Hong Kong University of Science and Technology,Full Stack Web Development with Angular,SPECIALIZATION,Rated 4.7 out of five stars. 9746 reviews,4.7,"9,746",320K students,Intermediate
/specializations/investment-management,University of Geneva,Investment Management,SPECIALIZATION,Rated 4.7 out of five stars. 6389 reviews,4.7,"6,389",160K students,Beginner
/specializations/aml,HSE University,Advanced Machine Learning,SPECIALIZATION,Rated 4.4 out of five stars. 3926 reviews,4.4,"3,926",330K students,Advanced
/specializations/big-data,University of California San Diego,Big Data,SPECIALIZATION,Rated 4.5 out of five stars. 12546 reviews,4.5,"12,546",320K students,Beginner
/specializations/engineering-project-management,Rice University,Engineering Project Management,SPECIALIZATION,Rated 4.8 out of five stars. 3406 reviews,4.8,"3,406",90K students,Beginner
/specializations/immunology,Rice University,Fundamentals of Immunology,SPECIALIZATION,Rated 4.7 out of five stars. 1634 reviews,4.7,"1,634",56K students,Intermediate
/specializations/six-sigma-green-belt,University System of Georgia,Six Sigma Green Belt,SPECIALIZATION,Rated 4.7 out of five stars. 3151 reviews,4.7,"3,151",53K students,Intermediate
/learn/automl-datasets-ml-models,DeepLearning.AI,Analyze Datasets and Train ML Models using AutoML,COURSE,Rated 4.6 out of five stars. 123 reviews,4.6,123,9.3K students,Advanced
/learn/web-development,"University of California, Davis",Introduction to Web Development,COURSE,Rated 4.7 out of five stars. 3028 reviews,4.7,"3,028",170K students,Beginner
/learn/natural-language-processing-tensorflow,DeepLearning.AI,Natural Language Processing in TensorFlow,COURSE,Rated 4.6 out of five stars. 5592 reviews,4.6,"5,592",94K students,Intermediate
/specializations/machine-learning,University of Washington,Machine Learning,SPECIALIZATION,Rated 4.6 out of five stars. 15063 reviews,4.6,"15,063",410K students,Intermediate
/specializations/health-informatics,Johns Hopkins University,Health Informatics,SPECIALIZATION,Rated 4.4 out of five stars. 554 reviews,4.4,554,28K students,Beginner
/learn/python-network-data,University of Michigan,Using Python to Access Web Data,COURSE,Rated 4.8 out of five stars. 41067 reviews,4.8,"41,067",520K students,Mixed
/learn/probabilistic-models-in-nlp,DeepLearning.AI,Natural Language Processing with Probabilistic Models,COURSE,Rated 4.7 out of five stars. 1198 reviews,4.7,"1,198",37K students,Intermediate
/specializations/data-science-statistics-machine-learning,Johns Hopkins University,Data Science: Statistics and Machine Learning,SPECIALIZATION,Rated 4.4 out of five stars. 6836 reviews,4.4,"6,836",280K students,Intermediate
/specializations/tensorflow2-deeplearning,Imperial College London,TensorFlow 2 for Deep Learning,SPECIALIZATION,Rated 4.9 out of five stars. 441 reviews,4.9,441,26K students,Intermediate
/specializations/content-strategy,Northwestern University,Content Strategy for Professionals,SPECIALIZATION,Rated 4.6 out of five stars. 750 reviews,4.6,750,40K students,Beginner
/specializations/sustainable-business-change-agent,University of Colorado System,Become a Sustainable Business Change Agent,SPECIALIZATION,Rated 4.7 out of five stars. 167 reviews,4.7,167,11K students,Intermediate
/specializations/bioinformatics,University of California San Diego,Bioinformatics,SPECIALIZATION,Rated 4.3 out of five stars. 1038 reviews,4.3,"1,038",95K students,Beginner
/learn/blockchain-basics,University at Buffalo,Blockchain Basics,COURSE,Rated 4.6 out of five stars. 5583 reviews,4.6,"5,583",150K students,Beginner
/learn/bioinformatics,University of California San Diego,Biology Meets Programming: Bioinformatics for Beginners,COURSE,Rated 4.3 out of five stars. 1223 reviews,4.3,"1,223",120K students,Beginner
/learn/ml-pipelines-bert,DeepLearning.AI,"Build, Train, and Deploy ML Pipelines using BERT",COURSE,Rated 4.7 out of five stars. 54 reviews,4.7,54,4.1K students,Advanced
/specializations/marketing-redes-sociales,Tecnológico de Monterrey,Marketing con Redes Sociales,SPECIALIZATION,Rated 4.4 out of five stars. 3284 reviews,4.4,"3,284",100K students,Intermediate
